iter	Passed	Remaining
0	2	242
1	4	220
2	6	203
3	7	181
4	8	170
5	10	171
6	13	174
7	14	167
8	17	174
9	19	176
10	21	174
11	23	173
12	25	172
13	27	169
14	29	168
15	31	167
16	33	164
17	35	163
18	38	162
19	39	159
20	41	157
21	43	154
22	45	152
23	47	149
24	48	146
25	51	145
26	53	143
27	54	140
28	56	138
29	58	135
30	60	133
31	61	131
32	63	129
33	65	126
34	67	124
35	68	122
36	70	120
37	72	117
38	73	115
39	75	113
40	77	111
41	77	107
42	79	105
43	81	103
44	83	101
45	84	99
46	86	97
47	88	95
48	89	93
49	90	90
50	92	88
51	94	86
52	95	85
53	97	83
54	98	80
55	99	78
56	101	76
57	103	74
58	104	72
59	106	71
60	108	69
61	109	67
62	111	65
63	112	63
64	114	61
65	115	59
66	117	57
67	118	55
68	120	54
69	123	52
70	125	51
71	127	49
72	128	47
73	130	45
74	132	44
75	134	42
76	136	40
77	137	38
78	138	36
79	140	35
80	141	33
81	143	31
82	144	29
83	146	27
84	147	26
85	149	24
86	150	22
87	152	20
88	153	19
89	155	17
90	156	15
91	157	13
92	159	11
93	160	10
94	162	8
95	163	6
96	164	5
97	166	3
98	168	1
99	169	0
