iter	Passed	Remaining
0	222	222179
1	225	112592
2	228	75973
3	231	57632
4	233	46523
5	236	39105
6	239	33939
7	241	29939
8	243	26821
9	246	24357
10	249	22397
11	252	20769
12	255	19360
13	257	18127
14	259	17061
15	262	16127
16	264	15280
17	267	14615
18	271	14002
19	273	13405
20	276	12867
21	278	12373
22	280	11924
23	283	11528
24	286	11192
25	289	10849
26	291	10512
27	295	10244
28	297	9968
29	300	9721
30	303	9475
31	305	9228
32	307	9006
33	309	8798
34	312	8610
35	314	8428
36	316	8244
37	318	8067
38	320	7909
39	323	7765
40	326	7628
41	328	7486
42	329	7339
43	331	7198
44	333	7067
45	334	6935
46	336	6817
47	338	6711
48	340	6612
49	342	6502
50	343	6394
51	345	6295
52	347	6202
53	348	6113
54	349	6013
55	351	5924
56	353	5843
57	354	5760
58	355	5677
59	357	5597
60	358	5518
61	359	5439
62	360	5360
63	361	5284
64	362	5209
65	363	5137
66	364	5076
67	365	5015
68	367	4953
69	368	4900
70	370	4853
71	372	4800
72	373	4742
73	374	4684
74	375	4627
75	376	4572
76	377	4523
77	378	4471
78	379	4424
79	380	4378
80	382	4341
81	384	4301
82	385	4258
83	386	4214
84	387	4172
85	388	4129
86	389	4087
87	390	4046
88	391	4010
89	392	3972
90	394	3936
91	396	3910
92	397	3880
93	398	3844
94	399	3808
95	400	3772
96	401	3737
97	402	3703
98	403	3669
99	404	3636
100	404	3604
101	405	3572
102	406	3540
103	407	3509
104	408	3480
105	409	3454
106	411	3432
107	412	3409
108	414	3384
109	415	3360
110	416	3334
111	417	3307
112	418	3281
113	418	3255
114	419	3230
115	420	3204
116	421	3177
117	422	3154
118	422	3130
119	424	3110
120	425	3092
121	427	3076
122	428	3055
123	430	3038
124	431	3018
125	432	2997
126	433	2976
127	434	2956
128	435	2937
129	436	2917
130	436	2898
131	437	2879
132	439	2863
133	440	2847
134	442	2835
135	443	2818
136	444	2802
137	446	2785
138	447	2768
139	447	2751
140	448	2733
141	449	2714
142	450	2697
143	450	2680
144	452	2666
145	453	2652
146	454	2637
147	456	2626
148	457	2613
149	458	2600
150	460	2586
151	460	2571
152	461	2556
153	462	2540
154	463	2525
155	464	2510
156	464	2495
157	465	2482
158	466	2469
159	468	2458
160	469	2446
161	471	2438
162	474	2434
163	476	2427
164	478	2419
165	480	2413
166	483	2411
167	486	2411
168	488	2402
169	489	2390
170	490	2378
171	491	2367
172	492	2354
173	493	2343
174	494	2331
175	495	2318
176	496	2308
177	497	2298
178	500	2293
179	501	2284
180	502	2273
181	503	2261
182	504	2250
183	504	2238
184	505	2228
